	Date	Workout Name	Exercise Name	Set Order	Weight	Weight Unit	Reps	RPE	Distance	Distance Unit	Seconds	Notes	Workout Notes	Workout Duration
152	2021-10-20 19:11:41	Evening Workout	Lateral Raise (Dumbbell)	3	20	lbs	17				0			54m
153	2021-10-20 19:11:41	Evening Workout	Lateral Raise (Dumbbell)	4	20	lbs	17				0			54m
154	2021-10-20 19:11:41	Evening Workout	Bicep Curl (Machine)	1	45	lbs	20				0			54m
155	2021-10-20 19:11:41	Evening Workout	Bicep Curl (Machine)	2	70	lbs	8				0			54m
156	2021-10-20 19:11:41	Evening Workout	Bicep Curl (Machine)	3	45	lbs	20				0			54m
157	2021-10-20 19:11:41	Evening Workout	Bicep Curl (Machine)	4	45	lbs	20				0			54m
158	2021-10-20 19:11:41	Evening Workout	Wrist roll inward 	1	90	lbs	20				0			54m
159	2021-10-20 19:11:41	Evening Workout	Wrist roll inward 	2	90	lbs	20				0			54m
160	2021-10-20 19:11:41	Evening Workout	Wrist roll inward 	3	90	lbs	20				0			54m
161	2021-10-20 19:11:41	Evening Workout	Wrist roll inward 	4	90	lbs	20				0			54m
162	2021-10-20 19:11:41	Evening Workout	Reverse Curl (Barbell)	1	50	lbs	15				0			54m
163	2021-10-20 19:11:41	Evening Workout	Reverse Curl (Barbell)	2	50	lbs	15				0			54m
164	2021-10-20 19:11:41	Evening Workout	Reverse Curl (Barbell)	3	50	lbs	20				0			54m
165	2021-10-20 19:11:41	Evening Workout	Reverse Curl (Barbell)	4	50	lbs	20				0			54m
166	2021-10-20 19:11:41	Evening Workout	Crunch (Machine)	1	150	lbs	100				0			54m
167	2021-10-20 19:11:41	Evening Workout	Crunch (Machine)	2	150	lbs	100				0			54m
168	2021-10-20 19:11:41	Evening Workout	Front Barbell raise	1	70	lbs	15				0			54m
169	2021-10-20 19:11:41	Evening Workout	Front Barbell raise	2	70	lbs	15				0			54m
170	2021-10-20 19:11:41	Evening Workout	Front Barbell raise	3	70	lbs	15				0			54m
171	2021-10-20 19:11:41	Evening Workout	Front Barbell raise	4	70	lbs	15				0			54m
172	2021-10-21 18:56:20	Evening Workout	Lat Pulldown (Cable)	1	150	lbs	12				0			1h 16m
173	2021-10-21 18:56:20	Evening Workout	Lat Pulldown (Cable)	2	150	lbs	15				0			1h 16m
174	2021-10-21 18:56:20	Evening Workout	Lat Pulldown (Cable)	3	150	lbs	15				0			1h 16m
175	2021-10-21 18:56:20	Evening Workout	Lat Pulldown (Cable)	4	150	lbs	15				0			1h 16m
